Attendance,Previous qualification (grade),Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Student ID,Application preference
Daytime,138.0,129.3,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,6,13.271666666666668,0,0,8,11,7,12.94375,0,12.4,0.5,1.79,Graduate,3415,4
Daytime,130.0,130.0,No,No,No,No,Male,No,41,No,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout,0725,4
Daytime,149.0,129.3,Yes,No,No,Yes,Male,No,18,No,0,8,8,7,13.1,0,0,8,8,7,13.1,0,12.7,3.7,-1.7,Graduate,2211,4
Evening,114.0,116.7,No,No,No,Yes,Male,No,49,No,0,5,7,4,13.333333333333334,0,0,5,9,4,11.6,1,16.2,0.3,-0.92,Dropout,3498,6
Daytime,135.0,121.8,No,No,No,Yes,Female,Yes,19,No,5,11,11,11,13.181818181818182,0,5,11,11,11,12.909090909090908,0,11.1,0.6,2.02,Graduate,1018,6
Daytime,133.1,101.3,No,No,No,Yes,Female,No,18,Yes,0,6,13,6,13.0,0,0,6,15,6,12.25,0,11.1,0.6,2.02,Graduate,3255,6
Daytime,133.0,119.7,Yes,No,No,Yes,Male,No,19,No,0,5,8,5,13.25,0,0,5,6,5,11.833333333333334,0,13.9,-0.3,0.79,Graduate,1388,4
Daytime,130.0,130.5,Yes,No,No,Yes,Female,No,19,No,0,7,7,6,12.45,0,0,7,7,6,12.45,0,7.6,2.6,0.32,Graduate,1710,4
Daytime,130.0,119.5,Yes,No,No,Yes,Female,Yes,21,No,0,7,7,7,12.242857142857144,0,0,8,8,8,14.125,0,15.5,2.8,-4.06,Graduate,3890,5
Daytime,140.0,131.3,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.5,0,0,6,9,6,13.666666666666666,0,10.8,1.4,1.74,Graduate,4160,6
Evening,120.0,128.2,No,No,No,No,Male,No,32,No,5,9,9,5,11.4,0,4,4,4,4,11.0,0,10.8,1.4,1.74,Dropout,1241,6
Daytime,117.0,113.5,Yes,No,No,Yes,Female,No,19,No,0,7,10,6,12.166666666666666,0,0,7,9,6,13.166666666666666,0,12.4,0.5,1.79,Graduate,1956,6
Evening,130.0,113.5,Yes,No,No,Yes,Female,No,36,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,0103,6
Daytime,120.0,126.7,Yes,No,No,Yes,Male,No,20,No,0,6,9,5,12.6,0,0,6,11,4,11.5,0,7.6,2.6,0.32,Graduate,1289,6
Daytime,151.0,134.5,No,No,Yes,Yes,Female,Yes,18,No,0,7,7,6,14.2,0,0,7,7,6,14.2,0,7.6,2.6,0.32,Graduate,0354,6
Daytime,120.0,118.6,No,No,No,Yes,Male,No,21,No,9,11,14,10,12.4,0,6,10,13,10,11.8,0,13.9,-0.3,0.79,Graduate,2284,6
Daytime,160.0,160.0,No,No,Yes,No,Male,No,51,No,0,4,4,0,0.0,0,0,4,4,0,0.0,0,12.7,3.7,-1.7,Dropout,1888,6
Daytime,141.0,138.9,No,No,No,Yes,Female,No,21,No,0,6,7,6,13.333333333333334,0,0,6,6,6,14.5,0,10.8,1.4,1.74,Graduate,2743,6
Daytime,142.0,123.5,Yes,No,No,Yes,Female,No,19,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout,3015,1
Daytime,184.4,184.4,No,No,No,Yes,Female,No,18,Yes,0,6,8,6,15.0,0,0,6,10,5,14.333333333333334,0,11.1,0.6,2.02,Graduate,1889,6
Evening,120.0,120.0,No,No,No,Yes,Female,No,36,No,6,10,15,4,13.0,0,5,9,10,4,13.75,0,8.9,1.4,3.51,Dropout,3785,6
Daytime,132.0,141.8,Yes,No,No,Yes,Male,No,20,No,0,6,6,6,11.833333333333334,0,0,6,6,6,12.166666666666666,0,12.7,3.7,-1.7,Graduate,3605,5
Daytime,115.0,112.6,No,No,No,Yes,Male,Yes,20,No,0,6,9,6,12.571428571428571,0,0,6,6,6,12.166666666666666,0,8.9,1.4,3.51,Graduate,3213,6
Daytime,133.1,116.0,Yes,No,No,Yes,Female,No,29,No,0,7,14,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,3942,6
Daytime,119.0,119.4,Yes,No,No,Yes,Female,No,20,No,0,7,7,7,13.775714285714288,0,0,8,8,8,15.599999999999998,0,12.4,0.5,1.79,Graduate,4112,4
Daytime,142.0,132.9,No,No,No,Yes,Male,No,22,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate,3482,6
Daytime,140.0,148.0,Yes,No,No,No,Male,No,31,No,0,6,14,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,3549,6
Daytime,133.1,120.0,No,Yes,Yes,Yes,Female,No,40,No,0,6,13,2,10.0,0,0,6,10,1,15.0,0,16.2,0.3,-0.92,Dropout,2500,6
Daytime,128.0,116.5,No,No,No,Yes,Male,Yes,18,No,0,6,12,4,11.5,0,0,6,10,5,12.6,0,10.8,1.4,1.74,Graduate,2431,6
Daytime,124.0,121.2,No,No,No,Yes,Male,Yes,20,No,1,6,7,6,13.5,0,1,6,9,5,12.5,0,10.8,1.4,1.74,Graduate,4411,6
Daytime,135.0,121.0,No,No,No,Yes,Male,No,19,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.4,0.5,1.79,Dropout,2459,5
Daytime,95.0,95.0,No,No,No,No,Male,No,21,No,0,6,9,4,13.25,0,0,6,6,5,11.0,0,12.7,3.7,-1.7,Dropout,2376,6
Daytime,139.0,136.4,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,13.422222222222224,0,0,8,11,7,12.18888888888889,0,15.5,2.8,-4.06,Graduate,3002,5
Evening,130.0,130.0,No,No,No,Yes,Male,No,31,No,9,9,9,9,14.22222222222222,0,5,5,5,5,12.8,0,12.7,3.7,-1.7,Dropout,2450,6
Daytime,120.0,117.2,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,11.875,0,0,6,11,4,14.6,0,11.1,0.6,2.02,Graduate,0307,3
Daytime,133.1,104.5,Yes,No,No,Yes,Female,No,21,No,0,2,2,2,12.5,0,0,7,0,0,0.0,0,12.4,0.5,1.79,Dropout,0477,5
Daytime,129.0,119.2,Yes,No,No,Yes,Female,No,21,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,2116,5
Daytime,140.0,122.3,Yes,No,No,Yes,Female,No,19,No,0,6,9,4,13.0,0,0,6,9,4,12.25,0,12.7,3.7,-1.7,Dropout,3023,6
Daytime,113.0,107.4,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,12.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate,4052,3
Daytime,111.0,162.4,No,No,Yes,No,Male,No,49,No,4,12,16,5,11.6,0,2,7,7,5,11.2,0,8.9,1.4,3.51,Dropout,3527,6
Daytime,130.0,120.0,No,No,No,Yes,Female,No,19,No,0,7,7,6,14.566666666666668,0,0,7,7,6,14.566666666666668,0,7.6,2.6,0.32,Graduate,1058,6
Daytime,135.0,137.5,Yes,No,Yes,No,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate,2388,6
Evening,128.0,122.1,No,No,No,Yes,Female,No,21,No,0,6,8,5,12.8,0,0,6,10,6,11.857142857142858,0,7.6,2.6,0.32,Graduate,0285,6
Daytime,117.0,120.5,Yes,No,No,Yes,Male,No,19,No,0,6,12,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,1474,6
Daytime,125.0,114.9,Yes,No,Yes,No,Female,No,21,No,0,6,8,3,13.666666666666666,0,0,6,7,3,10.666666666666666,0,15.5,2.8,-4.06,Dropout,1096,6
Daytime,144.0,126.5,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,13.487142857142857,0,0,8,8,7,13.487142857142857,0,10.8,1.4,1.74,Graduate,0471,4
Daytime,120.0,120.0,Yes,No,No,Yes,Female,No,22,Yes,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate,0916,6
Evening,150.0,139.9,Yes,No,No,Yes,Female,No,24,No,0,6,9,5,13.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate,0612,6
Evening,145.7,145.7,Yes,No,No,Yes,Female,No,25,Yes,8,16,16,15,13.333333333333334,0,11,13,13,11,12.272727272727272,0,13.9,-0.3,0.79,Graduate,2551,6
Evening,120.0,152.4,No,No,No,Yes,Male,No,27,No,0,5,5,5,15.2,0,0,5,6,5,14.166666666666666,0,10.8,1.4,1.74,Graduate,3081,6
Daytime,146.0,127.0,No,No,No,Yes,Male,No,19,No,0,8,8,7,13.614285714285714,0,0,8,8,7,13.614285714285714,0,12.7,3.7,-1.7,Graduate,2351,6
Evening,133.1,126.3,No,No,No,Yes,Female,Yes,26,No,0,5,7,0,0.0,0,0,5,8,0,0.0,0,16.2,0.3,-0.92,Dropout,0214,6
Daytime,121.0,114.9,No,No,No,Yes,Male,Yes,21,No,0,7,9,6,13.342857142857143,0,0,8,10,7,11.65,0,12.4,0.5,1.79,Graduate,1638,6
Daytime,124.0,118.8,Yes,No,Yes,No,Female,No,22,No,6,10,16,6,11.833333333333334,0,2,7,8,2,13.0,0,16.2,0.3,-0.92,Dropout,0260,6
Evening,130.0,152.0,Yes,No,No,Yes,Female,No,27,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout,0196,6
Daytime,125.0,133.4,Yes,No,No,Yes,Male,Yes,20,No,0,6,8,6,12.0,0,0,6,8,6,11.5,0,13.9,-0.3,0.79,Graduate,2642,6
Evening,120.0,141.0,No,No,No,Yes,Female,No,29,No,10,15,15,11,11.454545454545457,0,9,13,16,11,11.545454545454543,0,10.8,1.4,1.74,Dropout,0596,6
Daytime,111.0,128.2,Yes,No,No,Yes,Male,No,23,No,0,8,8,8,12.5075,0,0,8,8,8,12.5075,0,9.4,-0.8,-3.12,Graduate,0560,6
Daytime,140.0,131.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.88125,0,0,8,8,8,13.88125,0,9.4,-0.8,-3.12,Graduate,1391,5
Daytime,132.0,122.6,Yes,No,No,Yes,Female,Yes,18,No,0,6,7,6,12.285714285714286,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate,1954,3
Daytime,130.0,110.0,No,No,No,Yes,Male,No,32,No,8,18,27,13,13.714285714285714,1,7,12,18,12,12.083333333333334,0,15.5,2.8,-4.06,Graduate,2437,6
Daytime,138.0,124.9,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.2375,0,0,8,9,7,13.742857142857144,0,13.9,-0.3,0.79,Dropout,0131,4
Daytime,135.0,132.8,Yes,No,No,Yes,Female,Yes,18,No,0,8,12,7,11.721428571428572,0,0,8,12,7,11.721428571428572,0,12.7,3.7,-1.7,Graduate,0505,5
Daytime,124.0,123.3,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,Dropout,1107,5
Daytime,100.0,100.0,No,No,No,Yes,Female,No,24,No,0,6,6,6,12.166666666666666,0,0,6,6,6,13.833333333333334,0,7.6,2.6,0.32,Graduate,0286,6
Daytime,140.0,140.0,Yes,No,No,No,Female,No,21,Yes,0,6,6,6,11.5,0,0,6,10,4,13.25,0,13.9,-0.3,0.79,Graduate,1529,6
Daytime,148.0,131.9,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,14.15,0,0,8,8,8,14.51125,0,15.5,2.8,-4.06,Graduate,4180,3
Daytime,160.0,120.0,No,No,No,Yes,Female,No,31,No,0,7,21,5,10.9,3,0,8,21,3,11.7,1,12.7,3.7,-1.7,Dropout,3051,6
Evening,133.1,140.0,No,No,Yes,Yes,Male,No,37,No,0,5,10,4,10.75,0,0,5,12,3,13.333333333333334,0,9.4,-0.8,-3.12,Dropout,4401,6
Daytime,120.0,113.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,6,11.714285714285714,0,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate,1280,6
Evening,133.1,123.5,No,No,No,Yes,Female,No,50,No,0,1,1,0,0.0,1,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,2867,6
Daytime,123.0,116.7,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.166666666666666,0,0,6,8,6,12.666666666666666,0,12.4,0.5,1.79,Graduate,2809,6
Daytime,108.0,111.9,No,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,2544,6
Daytime,130.0,129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0056,6
Daytime,130.0,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0057,6
Daytime,132.0,124.0,Yes,No,No,Yes,Male,No,21,No,0,5,7,3,12.333333333333334,0,0,5,5,4,11.25,0,7.6,2.6,0.32,Dropout,3710,5
Evening,140.0,139.0,No,No,No,Yes,Female,No,27,No,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Graduate,0408,6
Daytime,140.0,140.0,No,No,No,Yes,Male,No,27,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout,1769,6
Daytime,153.0,146.7,No,No,No,Yes,Female,No,18,No,0,5,5,5,16.2,0,0,5,5,5,16.4,0,11.1,0.6,2.02,Graduate,0316,6
Daytime,126.0,118.7,No,No,No,Yes,Female,No,18,No,0,6,7,5,11.8,0,0,6,6,6,12.666666666666666,0,16.2,0.3,-0.92,Graduate,0499,6
Daytime,130.0,122.7,Yes,No,Yes,Yes,Male,Yes,20,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,2464,2
Daytime,115.0,129.0,Yes,No,Yes,No,Female,Yes,23,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,0846,6
Daytime,134.0,129.8,No,No,No,Yes,Female,Yes,20,No,0,6,6,6,11.666666666666666,0,0,6,8,6,11.166666666666666,0,15.5,2.8,-4.06,Graduate,3764,6
Daytime,120.0,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,0076,4
Daytime,133.1,115.8,No,No,No,No,Male,No,49,No,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout,2286,6
Daytime,130.0,123.4,Yes,No,No,Yes,Male,No,30,No,0,6,17,2,10.0,0,0,6,15,3,11.333333333333334,0,7.6,2.6,0.32,Dropout,0738,5
Daytime,121.0,111.9,Yes,No,No,Yes,Male,No,21,No,0,5,11,0,0.0,0,0,5,10,5,12.285714285714286,1,10.8,1.4,1.74,Graduate,1687,4
Daytime,126.0,125.7,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,11.0,0,0,6,13,3,11.0,0,9.4,-0.8,-3.12,Graduate,3921,2
Daytime,152.0,168.5,Yes,No,No,Yes,Male,No,21,Yes,0,6,7,5,14.6,0,0,6,6,5,14.2,0,16.2,0.3,-0.92,Graduate,1178,5
Daytime,130.0,161.5,No,No,No,Yes,Male,No,36,No,0,6,7,6,15.285714285714286,0,0,6,6,6,16.5,0,10.8,1.4,1.74,Graduate,1763,6
Daytime,132.0,133.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,6,6,13.833333333333334,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate,4418,6
Daytime,112.0,106.1,No,No,No,Yes,Female,No,20,No,0,5,13,2,10.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout,4252,6
Daytime,136.0,123.1,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,1276,5
Daytime,100.0,134.4,No,No,No,Yes,Female,No,34,No,9,16,20,14,12.071428571428571,1,11,13,13,11,12.272727272727272,0,7.6,2.6,0.32,Graduate,3242,6
Daytime,120.0,112.7,No,No,No,Yes,Female,No,21,No,0,8,12,6,11.68,0,0,8,12,6,11.68,0,10.8,1.4,1.74,Graduate,1023,5
Daytime,161.0,148.4,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.833333333333334,0,0,6,7,6,14.428571428571429,0,15.5,2.8,-4.06,Graduate,0373,6
Daytime,122.0,116.1,Yes,No,No,Yes,Female,No,18,No,0,6,13,6,13.153846153846152,0,0,6,12,3,11.0,0,15.5,2.8,-4.06,Graduate,2526,5
Evening,140.0,150.0,No,No,Yes,Yes,Male,No,35,No,0,5,6,5,10.8,0,0,5,7,5,12.0,2,9.4,-0.8,-3.12,Dropout,1778,6
Daytime,127.0,130.5,Yes,No,No,Yes,Female,Yes,21,No,0,5,6,5,12.8,1,0,5,7,4,11.25,0,9.4,-0.8,-3.12,Graduate,2059,6
Daytime,120.0,155.8,No,No,No,Yes,Male,No,29,No,0,6,9,6,16.11111111111111,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,Graduate,1491,6
Daytime,124.0,119.8,No,No,No,Yes,Male,No,19,No,0,8,11,7,13.867142857142856,0,0,8,11,7,13.867142857142856,0,10.8,1.4,1.74,Graduate,2655,2
Daytime,110.0,110.0,No,No,No,Yes,Female,No,52,No,11,15,26,14,10.466666666666669,0,9,12,16,12,10.923076923076923,0,13.9,-0.3,0.79,Graduate,1553,6
Daytime,139.0,135.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,12.214285714285714,0,0,8,8,7,12.214285714285714,0,12.7,3.7,-1.7,Graduate,2518,4
Daytime,140.0,129.2,Yes,No,No,Yes,Female,No,26,No,0,5,6,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout,1766,6
Daytime,157.0,146.2,Yes,No,No,Yes,Female,Yes,20,No,0,6,8,6,15.25,0,0,6,7,6,14.714285714285714,0,11.1,0.6,2.02,Graduate,3223,6
Daytime,120.0,120.0,No,No,Yes,No,Male,No,20,No,0,6,11,0,0.0,6,0,6,12,0,0.0,12,16.2,0.3,-0.92,Dropout,0534,6
Daytime,137.0,130.4,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Graduate,4292,6
Evening,133.1,114.7,No,No,No,Yes,Female,No,34,Yes,2,2,2,2,10.5,0,1,1,1,1,11.0,0,10.8,1.4,1.74,Dropout,2624,6
Evening,133.1,121.0,No,No,Yes,No,Female,No,44,No,2,8,12,4,12.0,2,2,7,9,4,12.0,2,8.9,1.4,3.51,Dropout,3812,6
Daytime,130.0,140.0,No,No,No,Yes,Male,No,34,No,0,5,10,3,11.666666666666666,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Graduate,0734,5
Daytime,140.0,129.9,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout,0448,5
Daytime,140.0,160.0,No,No,No,Yes,Female,No,27,No,0,8,8,7,15.94285714285714,0,0,8,8,7,15.94285714285714,0,12.7,3.7,-1.7,Graduate,3089,6
Daytime,122.0,119.9,No,No,No,Yes,Male,No,18,No,0,6,8,5,11.0,0,0,6,6,4,10.75,0,9.4,-0.8,-3.12,Graduate,3210,5
Daytime,140.0,97.0,Yes,No,No,Yes,Female,No,28,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,0229,5
Daytime,120.0,120.0,No,No,No,Yes,Male,No,21,No,2,7,10,6,13.428571428571429,0,5,9,9,8,13.125,0,16.2,0.3,-0.92,Graduate,1736,6
Daytime,131.0,120.2,Yes,No,No,Yes,Female,No,21,No,0,5,10,4,11.75,0,0,5,6,5,11.6,0,12.4,0.5,1.79,Graduate,3142,5
Daytime,124.0,126.8,No,No,No,Yes,Male,Yes,21,No,0,6,8,5,13.833333333333334,0,0,6,6,4,14.0,0,13.9,-0.3,0.79,Graduate,3589,6
Daytime,150.0,137.0,No,No,No,Yes,Male,No,35,No,1,6,7,5,12.8,0,1,6,11,5,13.833333333333334,0,15.5,2.8,-4.06,Graduate,2645,6
Daytime,121.0,111.9,Yes,No,No,Yes,Male,No,19,No,0,6,6,6,14.166666666666666,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate,3705,5
Daytime,135.0,121.0,Yes,No,No,Yes,Male,Yes,18,No,0,5,8,5,12.75,0,0,5,7,5,11.5,0,13.9,-0.3,0.79,Graduate,2395,4
Daytime,147.0,131.6,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.958333333333334,0,0,8,8,8,14.71875,0,11.1,0.6,2.02,Graduate,3022,6
Daytime,163.3,163.3,No,No,No,Yes,Female,No,18,Yes,0,6,10,6,13.5,0,0,6,12,6,12.0,0,12.4,0.5,1.79,Graduate,2514,5
Daytime,134.0,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,12.082857142857142,0,0,8,8,7,12.082857142857142,0,10.8,1.4,1.74,Graduate,0431,4
Evening,170.0,101.0,No,No,No,Yes,Female,No,32,No,0,6,9,4,12.0,0,0,6,12,4,11.5,0,7.6,2.6,0.32,Graduate,0288,6
Daytime,119.0,115.0,Yes,No,No,Yes,Male,Yes,20,No,0,7,14,1,13.0,0,0,7,15,0,0.0,0,11.1,0.6,2.02,Dropout,1872,1
Daytime,131.0,131.7,Yes,No,No,No,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,1729,6
Daytime,144.0,140.2,Yes,No,No,Yes,Female,No,20,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,2993,5
Daytime,147.0,148.4,Yes,No,No,Yes,Male,Yes,20,No,8,14,15,12,10.923076923076923,0,7,13,14,11,12.181818181818182,0,11.1,0.6,2.02,Graduate,4291,6
Daytime,130.0,130.0,No,No,No,Yes,Female,No,27,No,0,5,9,3,12.0,0,0,5,11,4,13.625,0,10.8,1.4,1.74,Graduate,1206,6
Daytime,135.0,128.0,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,14.0,0,0,6,8,6,13.125,0,10.8,1.4,1.74,Graduate,2982,6
Daytime,110.0,109.0,No,No,No,Yes,Male,Yes,19,No,0,6,7,6,13.142857142857142,0,0,6,8,6,14.166666666666666,0,15.5,2.8,-4.06,Graduate,2653,6
Daytime,150.0,142.7,No,No,Yes,Yes,Female,No,18,No,0,6,9,4,11.0,0,0,6,12,3,11.333333333333334,0,7.6,2.6,0.32,Dropout,3370,6
Daytime,140.0,130.2,Yes,No,No,Yes,Female,Yes,18,No,0,6,8,6,12.75,0,0,6,10,6,12.166666666666666,0,12.7,3.7,-1.7,Graduate,1715,3
Evening,120.0,141.0,No,No,No,Yes,Male,Yes,32,No,5,10,12,10,13.8,0,5,10,10,10,12.8,0,10.8,1.4,1.74,Graduate,2754,6
Daytime,120.0,110.0,No,No,No,No,Male,No,32,No,0,5,9,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout,2378,6
Daytime,131.0,118.4,No,No,No,Yes,Female,No,20,No,0,6,11,6,14.125,0,0,6,10,5,12.6,0,13.9,-0.3,0.79,Graduate,2951,6
Daytime,148.0,163.4,Yes,No,No,Yes,Female,No,20,No,0,6,7,6,11.5,0,0,6,6,6,12.0,0,16.2,0.3,-0.92,Graduate,0190,3
Daytime,121.0,117.9,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,12.833333333333334,0,0,6,7,6,11.666666666666666,0,11.1,0.6,2.02,Graduate,1905,6
Daytime,130.0,130.0,Yes,No,No,Yes,Male,No,29,No,1,6,10,6,17.11111111111111,0,2,6,9,6,15.571428571428571,0,13.9,-0.3,0.79,Graduate,3211,6
Daytime,129.0,118.5,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,10.666666666666666,0,0,6,6,6,11.5,0,7.6,2.6,0.32,Graduate,1424,6
Daytime,141.0,142.8,No,No,No,Yes,Female,No,18,No,0,7,7,7,13.7,0,0,8,9,8,13.994444444444444,0,11.1,0.6,2.02,Graduate,1332,6
Evening,133.1,133.2,No,No,No,No,Male,No,43,No,0,5,13,2,11.5,0,0,5,12,3,10.8,0,13.9,-0.3,0.79,Dropout,3497,6
Daytime,143.0,128.0,Yes,No,No,Yes,Female,No,19,No,0,6,11,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,0305,5
Evening,133.1,151.5,No,No,Yes,No,Male,No,45,No,0,6,7,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout,2476,6
Daytime,145.0,127.3,Yes,No,No,Yes,Male,No,18,No,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,Graduate,0533,5
Evening,160.0,120.0,No,No,No,Yes,Female,No,30,No,4,7,9,7,14.142857142857142,0,1,5,5,5,14.8,0,7.6,2.6,0.32,Graduate,0422,6
Daytime,129.0,127.6,Yes,No,No,Yes,Male,No,19,No,0,5,8,5,11.6,0,0,5,9,3,11.0,0,10.8,1.4,1.74,Dropout,2218,5
Daytime,124.0,119.1,Yes,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,2232,6
Daytime,119.0,112.0,Yes,No,No,No,Male,No,20,No,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,1460,6
Daytime,130.0,121.6,No,No,No,Yes,Female,No,19,No,0,6,7,6,14.714285714285714,0,0,6,6,6,15.833333333333334,0,12.4,0.5,1.79,Graduate,2538,6
Evening,133.1,118.1,Yes,No,No,Yes,Female,No,39,No,0,5,9,0,0.0,0,0,5,5,2,12.5,0,7.6,2.6,0.32,Dropout,2931,6
Evening,130.0,130.0,No,No,No,Yes,Female,No,26,No,5,10,13,8,12.666666666666666,0,5,10,12,10,13.4,0,11.1,0.6,2.02,Graduate,3933,6
Daytime,102.0,102.0,No,No,No,Yes,Female,No,19,No,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate,0585,6
Daytime,133.1,128.2,Yes,No,No,Yes,Female,No,20,No,5,12,13,12,11.23076923076923,0,3,11,18,9,12.77777777777778,0,11.1,0.6,2.02,Graduate,3995,6
Daytime,130.0,119.9,Yes,No,Yes,Yes,Male,No,20,No,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout,2703,6
Daytime,100.0,120.0,No,No,Yes,Yes,Female,Yes,39,No,0,5,6,5,10.6,0,0,5,7,4,10.75,0,9.4,-0.8,-3.12,Graduate,3150,6
Daytime,140.0,126.0,Yes,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout,1952,5
